Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Region
Netherlands,87,50,11,26,Western Europe
New Caledonia,118,79,13,26,Melanesia
New Zealand,90,61,3,26,Australia and New Zealand
Nicaragua,124,80,16,28,Latin America and the Caribbean
Niger,147,103,16,28,Sub-Saharan Africa
Nigeria,233,189,16,28,Sub-Saharan Africa
North Macedonia,127,83,16,28,Southern Europe
Northern Mariana Islands,118,79,13,26,Micronesia
Norway,98,79,14,5,Northern Europe
Oman,134,95,13,26,Western Asia
Pakistan,118,74,16,28,Southern Asia
Palau,118,79,13,26,Micronesia
Panama,113,74,13,26,Latin America and the Caribbean
Papua New Guinea,135,91,16,28,Melanesia
Paraguay,116,72,16,28,Latin America and the Caribbean
Peru,116,72,16,28,Latin America and the Caribbean
Philippines,130,86,16,28,South-eastern Asia
Poland,95,56,13,26,Eastern Europe
Portugal,123,84,13,26,Southern Europe
Puerto Rico,113,74,13,26,Latin America and the Caribbean
Qatar,134,95,13,26,Western Asia
Republic of Korea,110,71,13,26,Eastern Asia
Republic of Moldova,120,76,16,28,Eastern Europe
Romania,109,70,13,26,Eastern Europe
Russian Federation,75,33,14,28,Eastern Europe
Rwanda,208,164,16,28,Sub-Saharan Africa
Saint Kitts and Nevis,113,74,13,26,Latin America and the Caribbean
Saint Lucia,116,72,16,28,Latin America and the Caribbean
Saint Martin (French part),113,74,13,26,Latin America and the Caribbean
Saint Vincent & Grenadines,116,72,16,28,Latin America and the Caribbean
Samoa,120,76,16,28,Polynesia
San Marino,123,84,13,26,Southern Europe
Sao Tome and Principe,144,100,16,28,Sub-Saharan Africa
Saudi Arabia,151,105,20,26,Western Asia
Senegal,144,100,16,28,Sub-Saharan Africa
Serbia,105,83,16,6,Southern Europe
Seychelles,132,93,13,26,Sub-Saharan Africa
Sierra Leone,147,103,16,28,Sub-Saharan Africa
Singapore,119,80,13,26,South-eastern Asia
Sint Maarten (Dutch part),113,74,13,26,Latin America and the Caribbean
Slovakia,109,70,13,26,Eastern Europe
Slovenia,61,34,7,20,Southern Europe
Solomon Islands,135,91,16,28,Melanesia
Somalia,147,103,16,28,Sub-Saharan Africa
South Africa,84,40,16,28,Sub-Saharan Africa
South Sudan,147,103,16,28,Sub-Saharan Africa
Spain,116,77,13,26,Southern Europe
Sri Lanka,120,76,16,28,Southern Asia
State of Palestine,145,101,16,28,Western Asia
Sudan,141,97,16,28,Northern Africa
Suriname,116,72,16,28,Latin America and the Caribbean
Sweden,112,81,10,21,Northern Europe
Switzerland,125,72,13,40,Western Europe
Syrian Arab Republic,148,104,16,28,Western Asia
Tajikistan,141,97,16,28,Central Asia
Thailand,123,79,16,28,South-eastern Asia
Timor-Leste,130,86,16,28,South-eastern Asia
Togo,147,103,16,28,Sub-Saharan Africa
Tonga,120,76,16,28,Polynesia
Trinidad and Tobago,113,74,13,26,Latin America and the Caribbean
Tunisia,135,91,16,28,Northern Africa
Turkey,137,93,16,28,Western Asia
Turkmenistan,120,76,16,28,Central Asia
Turks and Caicos Islands,113,74,13,26,Latin America and the Caribbean
Tuvalu,120,76,16,28,Polynesia
Uganda,147,103,16,28,Sub-Saharan Africa
Ukraine,120,76,16,28,Eastern Europe
United Arab Emirates,134,95,13,26,Western Asia
United Kingdom,98,77,4,17,Northern Europe
United Rep. of Tanzania,163,119,16,28,Sub-Saharan Africa
United States of America,139,59,16,64,Northern America
United States Virgin Islands,113,74,13,26,Latin America and the Caribbean
Uruguay,113,74,13,26,Latin America and the Caribbean
Uzbekistan,135,91,16,28,Central Asia
Vanuatu,135,91,16,28,Melanesia
Venezuela (Boliv. Rep. of),116,72,16,28,Latin America and the Caribbean
Viet Nam,120,76,16,28,South-eastern Asia
Yemen,148,104,16,28,Western Asia
Zambia,122,78,16,28,Sub-Saharan Africa
Zimbabwe,144,100,16,28,Sub-Saharan Africa
